idi18n,dsmsgkey,dsenus,dsptbr,dseses
0b538c06-6b1e-49ef-a3db-aa0c14b7491c,Action.name.ADDDIALECT,Add Dialect,Adicionar Dialeto,Agregar dialecto
c26ec52c-d23c-4441-8bb0-ed5583aad5e5,Action.name.ADDDOCUMENT,Add Document,Adicionar Documento,Añadir documento
39a094c7-d5ff-4cd5-9892-ef655f8ce4e9,Action.name.ADDDRIVER,Add Driver,Adicionar Motorista,Agregar conductor.
53c662f9-deab-4d09-b8b1-7752439ecdbd,Action.name.ADDEMAIL,Add Email,Adicionar Email,Agregar correo electrónico
a9ade227-ef3a-44b1-a505-6ee5dc429a2d,Action.name.ADDEMAILLAYOUT,Add Email Layout,Adicionar Layout de Email,Agregar diseño de correo electrónico
23ca9075-1499-4175-a2df-3c3bfb138ec2,Action.name.ADDEMPLOYEE,Add Office Employee,Adicionar Funcionários no Escritório,Agregar Empleado de Oficina
4098a686-6289-4756-9adf-b580300c5fa4,Action.name.ADDEXCHANGEPROTECTION,Add Exchange Protection,Adicionar Proteção de Câmbio,Agregar Protección de Intercambio
1d48fdf4-d911-4543-8f88-79e2b4a0c3d0,Action.name.ADDFILE,Add Files Attachments,Adicionar Arquivos de Anexos,Agregar archivos adjuntos
82f69781-a0cc-4661-94e6-ae2fd3c3dadf,Action.name.ADDFINANCIALBANKACCOUNT,Add bank account with balance,Adicionar banco com valor,Agregar cuenta bancaria con saldo
3aee2952-36ac-42bd-bd23-4fdd391aa72d,Action.name.ADDGOODS,Add Goods,Adicionar Mercadoria,Agregar bienes
8cc68d26-d2d4-420f-8a9a-61425efb8df6,Action.name.ADDGOODSCOMPANY,Add a Company to Goods,Adicionar Empresa a Mercadoria,Agregar una empresa a los bienes
617532f9-bc42-4dde-bc1e-fdccdaeb8371,Action.name.ADDIATAOVER,Add IATA / Over Charges,Adicionar Taxas de IATA e Over,Agregar IATA / Cargos Adicionales
d2e494c2-68ae-4343-a38b-ba07db26bf2f,Action.name.ADDIMPORTFILE,Add File Import Data,Adicionar Arquivo de Importação de Dados,Agregar Importación de Archivo de Datos
24ac8922-b34f-4545-85f9-2854e8f5d46e,Action.name.ADDINCOTERMCHARGE,Add Incoterm Charge,Adicionar Taxa do Incoterm,Agregar cargo de Incoterm
ce34b821-fe3e-4e72-951e-34ac63a6badb,Action.name.ADDINCOTERMRULES,Add Incoterm Rules,Adicionar Regras do Incoterm,Agregar Reglas Incoterms
c3d429d1-23a2-496d-8c79-aeafa11c54a2,Action.name.ADDINSTRUCTION,Add Instruction,Adicionar Instrução,Añadir instrucción
ac699829-d18a-4ac1-a789-e235d16004bf,Action.name.ADDINVITE,Invite a User,Convidar um Usuário,Invitar a un usuario
2287e89a-ceea-452b-b28f-79e1c29e3612,Action.name.ADDINVOICE,Add Invoice,Adiconar Invoice,Agregar factura
5e392b7c-7d38-4932-a68d-386fa19184bd,Action.name.ADDINVOICECHARGE,Add Invoice Charge,Adicionar Taxa da Invoice,Agregar cargo de factura
b52ca300-5538-4a77-9acb-c693819d6e02,Action.name.ADDINVOICEPARCEL,Add Invoice Parcel,Adicionar Parcela da Invoice,Agregar paquete de factura
76409811-e863-46f4-b5a2-c0392e4b0b7e,Action.name.ADDLATEFEE,Add Demurrage / Detention,Adicionar Demurrage / Detention,Agregar Demora / Detención
582c4a40-9927-4367-9d09-e96b1928886e,Action.name.ADDLATEFEEINVOICE,Add Demurrage / Detention Invoice,Adicionar Invoice de Demurrage / Detention,Agregar factura de demora / detención
509ea295-6daf-43d4-b0fc-629e06cba1bd,Action.name.ADDLATEFEEVOLUME,Add Demurrage / Detention Volume,Adicionar Volume de Demurrage / Detention,Agregar Volumen de Demora / Detención
36e824e4-f57e-441c-b848-782e114c6c67,Action.name.ADDMEMBER,Add Company Members,Adicionar Membros na Empresa,Agregar miembros de la empresa
702cb74c-c966-4703-b5c3-6186277ec2d6,Action.name.ADDOCCURRENCE,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
3f2d6c9f-6715-4f94-9a56-dc94d7ef266d,Action.name.ADDOFFICE,Add Office,Adicionar Escritório,Agregar Oficina
b2cf05ec-6b91-4cb6-b68a-92ec13e22efc,Action.name.ADDOFFICESALESMAN,Add Salesperson,Adicionar Vendedor ao Escritório,Agregar vendedor de ventas
7c2ff563-5c3b-493e-8f43-3209f23a03c1,Action.name.ADDORDER,Add Order,Adicionar Pedido,Añadir orden
0f08c378-34b0-4f2b-b08c-2cc0874739b7,Action.name.ADDORGANIZATIONPRINTSETTINGS,Add Default Impression,Adicionar Padrões de Impressão,Agregar Impresión Predeterminada
d765e934-81c0-41b1-8e3e-1442e76bfa85,Action.name.ADDOWNERCHARGE,Add Charge,Adicionar Taxa,Agregar cargo
555112ed-2561-4066-ad29-d593e5c40be2,Action.name.ADDPAYER,Add Payer,Adicionar Pagador,Agregar Pagador
ae219a65-8407-4009-a774-6250bf2089f9,Action.name.ADDPAYMENT,Add Payment,Adicionar Pagamento,Agregar pago
9446572b-e8e2-40ec-9a13-2c9d5c8a06dd,Action.name.ADDPAYMENTTERM,Add Term of Payment,Adicionar Prazo de Pagamento,Agregar Término de Pago
72fec2e8-1ed4-476c-87e0-5ef2da3e67fb,Action.name.ADDPHONE,Add Phone,Adicionar Telefone,Añadir teléfono
e2394607-245f-4147-8381-7da9ade49757,Action.name.ADDPORT,Add Port,Adicionar Porto,Añadir puerto
d7c8d7ab-403f-4479-9e06-e672a4084092,Action.name.ADDPRICING,Add Pricing,Adicionar Pricing,Agregar precios
1d209654-bbaa-4680-af09-d3805ce8f6c4,Action.name.ADDPRICINGPROFITSHARE,Add Profit Share Charge,Adicionar Taxa de Profit Charge,Agregar cargo de participación en las ganancias
a7e19c58-3610-4a2f-b611-d7aeb30ddfab,Action.name.ADDPRICINGVOLUME,Add Pricing Volume,Adicionar Volume no Pricing,Agregar Volumen de Precios
2c6dd0b0-5643-440a-8066-5adba1a46fed,Action.name.ADDPROCESSAIREXPORT,Add Process Air - Import,Adicionar Processo Aéreo - Importação,Agregar Aire de Proceso - Importar
74e05ec6-17ed-4700-a2d9-843bb7394494,Action.name.ADDPROCESSAIRIMPORT,Add Process Air - Import,Adicionar Processo Aéreo - Importação,Agregar Aire de Proceso - Importar
1c00bf2f-c181-4a03-8512-b1a6a2c49cca,Action.name.ADDPROCESSCHARGE,Add Process Charge,Adicionar Taxa ao Processo,Agregar cargo de proceso
45c8337a-16c2-474f-8562-27b5f4e08065,Action.name.ADDPROCESSCOURIERIMPORT,Add Process Courier - Import,Adicionar Processo Remessa - Importação,Agregar Proceso Courier - Importar
693a35d6-f494-4acf-a88b-9b82e3c286e1,Action.name.ADDPROCESSGOODS,Add Process Goods,Adicionar Mercadorias do Processo,Agregar productos procesados
80b0c5ab-efa6-42a1-8fde-8e93ba91d986,Action.name.ADDPROCESSGROUNDEXPORT,Add Process Ground - Export,Adicionar Processo Rodoviário - Exportação,Agregar Tierra de Proceso - Exportar
0fee1c09-4d53-486c-a06d-266dc96cfa8b,Action.name.ADDPROCESSGROUNDIMPORT,Add Process Ground - Import,Adicionar Processo Rodoviário - Importação,Agregar Tierra de Proceso - Importar
621bd7a8-3d3a-4f05-a6ff-7d1b2999b076,Action.name.ADDPROCESSGROUNDNATIONAL,Add Process Ground National,Adicionar Processo Rodoviário Doméstico,Agregar Proceso Nacional de Tierra
180d4d2d-37af-4db7-b22a-a649eaf9e1e8,Action.name.ADDPROCESSMULTIMODAL,Add Process Multi Modality,Adicionar Processo Multi Modalidades,Agregar Proceso de Multi-modalidad
c932bae7-0179-4a92-b872-669a373d20e1,Action.name.ADDPROCESSOTHERSERVICE,Add Other Service,Adicionar Outros Serviços,Agregar otro servicio
d19cf7a1-4665-455f-8c99-712a7cfe08ff,Action.name.ADDPROCESSPROFITSHARE,Add Process Profit Share Charge,Adicionar Taxa de Profit Share no Processo,Agregar cargo de participación en las ganancias del proceso
7ed9bb6d-0ae3-48bf-b16c-9cc59c7c8362,Action.name.ADDPROCESSSALESMAN,Add Salesperson to Process,Adicionar Vendedor ao Processo,Agregar vendedor al proceso
62d5c76d-ba22-42d3-91eb-b9cabcb196ef,Action.name.ADDPROCESSSEAEXPORT,Add Process Sea - Export,Adicionar Processo Marítimo - Exportação,Agregar Proceso Marítimo - Exportación
78ba441c-6671-462e-9d24-675e984180f8,Action.name.ADDPROCESSSEAIMPORT,Add Process Sea - Import,Adicionar Processo Marítimo - Importação,Agregar Proceso Marítimo - Importación
ac6cac7d-143e-4c64-a087-4c8399cfae83,Action.name.ADDPROCESSVEHICLE,Add Process Vehicle,Adicionar Veículo ao Processo,Agregar Vehículo de Proceso
6b4d3c07-e78b-426a-b274-ba00633e5966,Action.name.ADDPROCESSVOLUME,Add Process Volume,Adicionar Volume ao Processo,Agregar Volumen de Proceso
7849ee39-90af-4ec9-a6b4-8dece626b98f,Action.name.ADDPROFITSHARE,Add Profit Share,Adicionar Negociação de Profit Share,Agregar participación en las ganancias
d1f2e724-2e98-4137-96d3-d2067dad5d23,Action.name.ADDQUOTATION,Add Quotation,Adicionar Cotação,Agregar cita
42fb71f0-5c20-418b-b888-193179fe66e3,Action.name.ADDQUOTATIONVOLUME,Add Quotation Volume,Adicionar Volume da Cotação,Añadir Volumen de Cotización
6ffdb238-49d8-423d-b40b-f0ef366a0a0f,Action.name.ADDROLE,Add Role,Adicionar Perfil,Agregar Rol
4b222ea7-54eb-4dab-a580-a719d53b220d,Action.name.ADDSALESCHARGE,Add Charge,Adicionar Taxa,Agregar cargo
e6928447-ae22-4985-9903-54380530b791,Action.name.ADDSALESMAN,Add Salesperson,Adicionar Vendedor,Agregar vendedor de ventas
31329ee2-ef3c-4aa9-973e-7aa790fee83f,Action.name.ADDSALESPROCESS,Add Pricing / Quotation Charge,Adicionar Taxa de Pricing / Quotation,Agregar cargo de precios / cotización
c7586180-c3c1-4a81-b940-c64f248a3906,Action.name.ADDSERVICETYPE,Add Service Type,Adicionar Tipo de Serviço,Agregar tipo de servicio
6a57d3bf-8c27-41cf-8efd-22bd97227d22,Action.name.ADDSHEET,Add Sheet,Adicionar Planilha,Agregar hoja
1fb4698f-094a-4956-9665-668a0a80ffe7,Action.name.ADDSOP,Add Office's SOP,Adicionar SOP de Escritório,Añadir el procedimiento operativo estándar de la oficina
502f0de5-7266-437c-b9e1-cab767e56422,Action.name.ADDSTATEMENT,Add Statement,Adicionar Statement,Agregar declaración
66315166-3f99-4e82-9997-90f8137b60dc,Action.name.ADDSTATEMENTINVOICES,Link Invoice to a Statement,Vincular Invoice a um Statement,Vincular la factura a un estado de cuenta
c3072890-96c7-4689-911e-1a78003a5f36,Action.name.ADDSUBSTATUS,Add Sub Status,Adicionar Sub Status,Agregar estado de subtracción
a3613c8f-acf1-4c3d-b16d-3fab729126b4,Action.name.ADDSYSTEMCOMPANY,Register companies of the Group to my Organization,Cadastrar empresas do Grupo a minha Organização,Registrar las empresas del Grupo en mi Organización
7e7fc1e6-751a-4076-8933-2cfec70fa33c,Action.name.ADDSYSTEMCONFIGURATION,Add System Configuration,Adicionar Configurações do Sistema,Agregar Configuración del Sistema
d1958f4a-21ff-4f93-85ac-f842dec280f2,Action.name.ADDSYSTEMOFFICE,Register my company branches,Cadastrar escritórios filiais a minha Empresa,Registrar las sucursales de mi empresa
0aebed71-a1b7-4e58-b581-273ab2245644,Action.name.ADDTHIRDPART,Add Third Part,Adicionar Terceiro Comissionado,Agregar Tercera Parte
a2bee0c0-241d-489c-9745-58962b6be4bf,Action.name.ADDTRADINGPROCESS,Add Trading Process,Adicionar Processo de Trading,Agregar proceso de trading
a228d351-d62d-4d8c-aad5-504a647972f0,Action.name.ADDTRANSHIPMENT,Add Transhipment,Adicionar Transbordo,Agregar transbordo
e690fe03-c1a5-4cd2-89b7-e69b7cf51d1b,Action.name.ADDUSER,Add User,Adicionar Usuário,Agregar usuario
2769a4bd-0d2b-4526-9241-a9109d83d06f,Action.name.ADDVEHICLE,Add Vehicle,Adicionar Veículo,Agregar vehículo
42bc3428-1ffa-49b0-8c9b-f1e68bf6a0e3,Action.name.ADDVESSEL,Add Vessel,Adicionar Navio,Agregar Buque
013912b3-15eb-4798-9877-e2080f8f7064,Action.name.AIRLINEAWBSEQUENCES,View AWB Sequence,Visualizar Sequence de AWB,Ver secuencia AWB
70c6b0b0-7dfd-4ab0-b42e-790a8733d6ea,Action.name.AIRPORTS,View Airports,Visualizar Aeroportos,Ver aeropuertos
37586808-2b84-4764-b4a2-97dc4ab7064a,Action.name.ALLOWUSERBEAWARENONCONFORMITY,Allow user be aware about nonconformity ,Permitir usuário dar ciência de não conformidade,Permita que el usuario esté al tanto de la no conformidad
0928364a-4ba6-4371-af29-3f5b08e969fb,Action.name.BALANCECREDITS,View Balance Credits,Visualizar Saldo de Créditos,Ver créditos de saldo
d1323aea-161d-4a89-beaa-c9fa4cb687ee,Action.name.BATCHIMPORTFILECOURIER,Import File - Courier Shipments,Importar Arquivo - Remessas de Courier/ Correios,Importar archivo - Envíos de mensajería
e083aa32-74e1-4964-b460-528024211bf2,Action.name.BOOKINGBATCH,Add / Set Booking,Adicionar e Editar Booking,Agregar / Establecer Reserva
2d9ff61b-a0b1-4951-b3e8-9f3e93da2442,Action.name.CANCELNFEINVOICE,Cancel NF-e,Cancelar NF-e,Cancelar NF-e
9c604e19-b24d-4430-a6b6-c7da33ad2c40,Action.name.CARRIERDEMURRAGES,View Carrier Demurrages,Visualizar Demurrages do Armador,Ver demoras del transportista
885d8d1e-a37b-42b0-8162-29c68a4a5d56,Action.name.CHANGEPASS,Change Password,Alterar Password,Cambiar contraseña
b51166f2-589b-4eb1-9d50-8d21b7257063,Action.name.CHARGECALCULATIONS,View Charge Calculations,Visualizar Cálculos de Taxa,Ver cálculos de cargos
ba12812f-ce6a-41bf-b206-4fd98360b2be,Action.name.CHARGES,View Charges,Visualizar Taxas,Ver cargos
36a950ab-8f7f-4ff2-9d3a-13207d83bfd1,Action.name.CHECKPASSWORD,Check Password,Checar Password,Verificar contraseña
92080801-8c45-417e-a73e-f8e3b1ea35da,Action.name.COMMISSIONCHARGEBATCH,Add and Edit Batch Commission Fees,Adicionar e Editar em lote Taxas de Comissão,Agregar y editar tarifas de comisión por lote
9708447a-514b-486b-b374-5e2b25d9ad62,Action.name.COMMISSIONCHARGES,View Commission Charges,Visualizar Taxas de Comissão,Ver cargos de comisión
2f8f8579-f7d6-40ec-9aea-f27537f41005,Action.name.COMMISSIONPROCESSBATCH,Batch Add / Set Processes Commissions,Adicionar e Editar em Lote Processos na Comissão,Agregar / Establecer Comisiones de Procesos por Lote
be1c11f4-a42f-479b-9519-b6aac69fabb9,Action.name.COMPANYAGENT,View Agents,Visualizar Agentes,Ver Agentes
24e48392-cbc3-4f75-974c-2c203e30dac2,Action.name.COMPANYAIRLINE,View Airline,Visualizar CIAs Aéreas,Ver aerolínea
e13a88b6-cbaf-456b-bc81-26d92fe73228,Action.name.COMPANYCARRIER,View Carriers,Visualizar Armadores,Ver transportistas
47550238-c141-4fe2-ad39-14bdd8b8f8f1,Action.name.COMPANYCHARGES,View Charges,Visualizar Taxas,Ver cargos
f8aa06c6-d965-4c28-bb28-b0e620656e4b,Action.name.COMPANYCOMPANYCOSTCENTERS,View Company Cost Centers Aggreements,Visualizar Acordos de Centro de Custo,Ver acuerdos de centros de costos de la empresa
12e9001a-6810-43f4-8be4-21befe0f391e,Action.name.COMPANYCUSTOMER,View Customer,Visualizar Cliente,Ver cliente
0c2334d5-7709-4613-8167-24a202f46e5b,Action.name.COMPANYDRIVERS,View Drivers,Visualizar Motoristas,Ver controladores
fd0c2ed6-a82a-4320-a875-21f287d1a4a5,Action.name.COMPANYFILES,View Companies Attachments,Visualizar Anexos de Empresas,Ver Adjuntos de Empresas
f66f1bc2-15d9-4c33-b3af-cd6bfd530186,Action.name.COMPANYMEMBERS,View Company Members,Visualizar Membros da Empresa,Ver miembros de la compañía
81ed76c2-4b86-468e-b34d-40a16210c998,Action.name.COMPANYNETWORKING,View Networking,Visualizar Networwing,Ver Redes de Contactos
0a7a4016-c516-4d93-afea-f7df7ccde689,Action.name.COMPANYOCCURRENCES,View Occurrences,Visualizar Ocorrências,Ver Ocurrencias
9bcfecc1-4ac4-4bbe-a108-358df06ea147,Action.name.COMPANYOFFICES,View Offices,Visualizar Escritórios,Ver Oficinas
4835a24b-cad8-4e92-a558-6d3cfe1fabce,Action.name.COMPANYPARTNERS,View Partners Companies (on SmartComex),Visualizar Empresas Parceiras (no SmartComex),Ver empresas asociadas (en SmartComex)
f9066913-239d-4fa4-9e79-9ee671b4ab24,Action.name.COMPANYPROFITSHARES,View Profit Shares,Visualizar Profit Share,Ver acciones de ganancias
7eb45169-b04d-432c-aaa8-a0535b54d3f9,Action.name.COMPANYRPTBANKTRANSACTION,Bank Transaction Report,Relatório de movimentação bancária,Reporte de Transacciones Bancarias
b1614e40-9452-42e0-8ebb-1579665aaf87,Action.name.COMPANYRPTCASHFLOWSDETAIL,Company's Detailed Cash Flow,Fluxo de Caixa Detalhado da Empresa,Flujo de caja detallado de la empresa
b871cd8f-b53c-48e9-84ed-64ab1ac36a8d,Action.name.COMPANYRPTFINANCIALTOTALPERPROCESS,Total Process - Company,Totais dos Processos  - Empresa,Proceso Total - Compañía
1f689bf2-1173-4d1a-b741-dd4573cc4f6c,Action.name.COMPANYRPTFOXOCCURRENCEPRODUCTIVITY,Process Productivity by Occurrences - Company,Produtividade dos Processos por Ocorrências - Empresa,Productividad del proceso por ocurrencias - Compañía
2f652238-1fdf-45f6-a89a-57b4c22d5ed7,Action.name.COMPANYRPTINVOICESTOTAL,Invoce's Total Report - Company,Relatório Total das Invoices - Empresa,Informe Total de Facturas - Empresa
4a43635a-c5b3-472b-943e-b8a65db49a27,Action.name.COMPANYRPTMOORINGCONTROL,Report Mooring and Billing - Company,Relatório Atracação e Faturamento - Empresa,Informe de Amarre y Facturación - Empresa
b3f37d53-5f39-434d-8e8f-bcc2fa6496af,Action.name.COMPANYRPTPROCESSGENERAL,Process List Report - Company,Relatório Lista de Processos - Empresa,Reporte de Lista de Procesos - Compañía
2f5c162b-d70e-4adf-851b-80342759c5d4,Action.name.COMPANYRPTPROCESSPERFORMANCE,Process Performance - Company,Performance dos Processos - Empresa,Rendimiento del Proceso - Empresa
a0f2cfb1-2ab9-47e1-b173-07ff226a60c7,Action.name.COMPANYRPTPROCESSROUTINGORDER,Process Routing Order- Company,Processos Routing Order - Empresa,Orden de Enrutamiento de Procesos - Compañía
6a292e6e-c7fd-4165-b53d-0b4dbd30c8a7,Action.name.COMPANYRPTQUOTATIONGENERAL,General Quotation Report - Company,Relatório Geral de Cotação - Empresa,Informe General de Cotización - Empresa
64f14dc7-5f58-4f25-9c94-d4cc56b6f8b5,Action.name.COMPANYSERVICES,View Services,Visualizar Serviços,Ver servicios
3250c1f4-f93f-44d4-a58f-4085eed6dfa1,Action.name.COMPANYTHIRDPART,View Third Part,Visualisar Terceiro Comissionado,Ver Tercera Parte
996cd3b9-aa4d-4043-bcd0-2a1f594c6b64,Action.name.COMPANYVEHICLES,View Vehicles,Visualizar Veículos,Ver vehículos
570e5259-07b3-4310-9b60-534ec8905262,Action.name.COMPANYVWPROCESSCHARGEINVOICENULL,Charge WithOut Invoice - Company,Taxas sem Invoice - Empresa,Cobro sin factura - Empresa
ba9b311c-e5cc-42d0-afea-7a0ab0f3e831,Action.name.COMPANYVWRPTLATEFEE,Demurrage Report - Company,Relatório de Demurrage - Empresa,Informe de Demora - Empresa
3d2fd917-8cb2-4daa-b099-edf1236f3046,Action.name.CONFIGVARIABLES,View Config Variables,Visualizar Variáveis de Configuração,Ver variables de configuración
16b0c501-8a40-475e-bf97-fd1588e74dce,Action.name.COSHIPMENTBATCH,Add / Set / Delete Courier Shipments,Adicionar / Editar / Excluir Remessas de Courier ,Agregar / Establecer / Eliminar Envíos de Mensajería
4230d73c-eeee-4d15-b374-336c53a4a752,Action.name.COUNTRYFLAGS,View Countries,Visualizar Países,Ver países
cf9a6334-b115-4d9f-9ac5-9c319d039a52,Action.name.DELETEADDRESS,Delete Billing Address,Remover Endereço de Faturamento,Eliminar dirección de facturación
106a13b7-6398-4fda-9183-1bc08e5b5601,Action.name.DELETEAIRPORT,Delete Airport,Remover Airport,Eliminar Aeropuerto
8d903e85-f962-45d9-b48f-22bb6356a31a,Action.name.DELETEAWBSEQUENCE,Delete AWB Sequence,Remover Sequence de AWB,Eliminar Secuencia AWB
6a50a77b-eaab-406c-93a0-b918bfdddb6d,Action.name.DELETECARRIERDEMURRAGE,Delete Carrier Demurrage,Remover Demurrage do Armador,Eliminar la demora del transportista
9c5635ca-6737-4551-9ed3-1b37a3a2c2d2,Action.name.DELETECHARGE,Delete Charge,Remover Taxa,Eliminar cargo
c696f203-ca1b-411b-9957-ea0e84f040aa,Action.name.DELETECHARGECALCULATION,Delete Charge Calculation Method,Remover Método de Cálculo de Taxa,Eliminar Método de Cálculo de Cargos
0eccaf97-7442-4933-8772-21710ae600ac,Action.name.DELETECHECKLISTGROUP,Delete Checklist Group,Remover Grupo de Checklist,Eliminar Grupo de Lista de Verificación
ea1acc52-d697-4824-b828-d7ea1c5e0e08,Action.name.DELETECOCARGOPRESENCE,Delete Cargo Presence,Excluir Presença de Carga,Eliminar Presencia de Carga
b5291390-0d05-4b4c-a37f-9bcac56c6345,Action.name.DELETECODECLARATION,Delete Customs Declaration,Excluir Declaração (DIR),Eliminar Declaración Aduanera
a1a96237-7fa4-4d2b-9cb6-fd6dceb61358,Action.name.DELETECODEVOLUTION,Delete Devolution,Excluir Devolução,Eliminar Devolución
661752ca-947c-4687-abbe-180670b43879,Action.name.DELETECOMANIFEST,Delete Manifest,Excluir Manifesto,Eliminar Manifiesto
cc36e0b4-fd41-44e2-b8ab-98212385248e,Action.name.DELETECOMMISSION,Delete Commission,Remover Comissão,Eliminar Comisión
0c801409-4579-46a3-8a59-4a1aba835719,Action.name.DELETECOMPANYCOSTCENTER,Delete % Cost Center at Company,Remover % Centro de Custo na Empresa,Eliminar el % Centro de Costo en la Compañía
3cee1193-2d7b-471b-98ab-0184c2c4c5e4,Action.name.DELETECONTACT,Delete Contact,Remover Contato,Eliminar contacto
dc3f2128-fdfa-480a-b50e-6e7663953821,Action.name.DELETECOPAYMENT,Delete Payment (DARF),Excluir Pagamento (DARF),Eliminar Pago (DARF)
9154815a-202d-4cbe-aae1-159b1f36076e,Action.name.DELETECOREVIEWREQUEST,Delete Review Requests,Excluir Pedidos de Revisão,Eliminar solicitudes de revisión
