dsmsgkey,dsenus,dsptbr,dseses
FileManagerComponent.header.addFile,Adding File,Adicionando Arquivo,Añadiendo archivo
File.noResult,No File found,Nenhum Arquivo encontrado,Ningún archivo encontrado
FileType.ARRIVALCONFIRM,Arrival Confirmation,Confirmação de Chegada,Confirmación de llegada
FirstOfficeComponent.p.3,Would you like to view our plans or would you like to start now?,Gostaria de visualizar nossos planos ou deseja começar agora?,¿Le gustaría ver nuestros planes o le gustaría comenzar ahora?
ImportInvoicesForm.label.updateDtExpire,Update Expire,Atualizar Vencimento,Actualizar Vencimiento
importLicenseTypes.DEFERRED,Deferred,Deferida,Diferido
Action.name.ADDINVOICE,Add Invoice,Adiconar Invoice,Agregar factura
Action.name.INCOTERMCHARGE,View Incoterm Charges,Visualizar Taxas do Incoterm,Ver cargos de Incoterm
Label.clickAddWidget,Click here to add a new widget.,Clique aqui para adicionar um novo widget.,Haga clic aquí para agregar un nuevo widget.
Label.clickHere,Click here!,Clique aqui!,¡Haz clic aquí!
Label.dtActivation,Activation Date,Data de Ativação,Fecha de Activación
Label.dtAdjustment,Corrective Action Date,Data Ação Corretiva,Fecha de Acción Correctiva
Label.home,Home,Home,Inicio
Label.infos,Informations,Informações,Informaciones
Label.nfeInvoiceDetails,NFe invoice detail,Detalhe da nota fiscal,Detalle de la factura NFe
Label.nfeName,Company Name,Razão Social,Nombre de la empresa
Label.obs,Note,Observação,Observación
Label.otherCommissions,Other Commissions,Outras Comissões,Otras comisiones
Label.otherModules,Other Modules,Outros Módulos,Otros módulos
Label.emailContacts,Email Contacts,Contatos de E-mail,Contactos de correo electrónico
Label.removeInvoices,Remove Invoices,Remover Invoices,Eliminar facturas
Label.removeUnlinkedHouses,Remove unlinked houses,Remover houses não vinculados,Eliminar casas no vinculadas
Label.report,Report,Relatório,Informe
Label.sell,Sell,Venda,Vender
Label.viewEvent,View Event,Visualizar Evento,Ver evento
Label.viewInvoiceCommission,View Invoice Commission,Visualização de Invoice de Comissão,Ver factura de comisión
Label.visible,Visible,Visível,Visible
MantraNotificationTypes.ARRIVE,Arrived,Chegada,Llegada
MantraNotificationTypes.BINDDI,Binded DI,Vinculada DI,DI vinculada
NoOrganizationsComponent.p.2,Just enter your coupon in the field below and click on,"Basta inserir seu cupom, no campo abaixo, e clicar em",Simplemente ingrese su cupón en el campo a continuación y haga clic en
NoOrganizationsComponent.p.2startNow,Start Now,Começar Agora,Comenzar ahora
NoOrganizationsComponent.p.3,"On the next page, we'll get to know your company better with a simple Registration form. After that just start using.",Nas próxima página vamos conhecer melhor a sua empresa com um simples formulário de cadastro. Após isso é só começar a usar.,"En la siguiente página, conoceremos mejor su empresa con un sencillo formulario de registro. Después de eso, simplemente comience a usar."
notification.FollowUpQuot.Body,"Check the quotation {{CdQuotation}}, without any response.","Verifique a cotação {{CdQuotation}}, está sem resposta.","Verifique la cotización {{CdQuotation}}, sin ninguna respuesta."
Placeholder.district,Type the district,Digite o bairro,Escriba el distrito
Placeholder.dsActionPlan,Type Action Plan,Digite o Plano de Ação,Escriba el Plan de Acción.
Placeholder.type,Type,Digite,Tipo
ProcessConsolidationTypes.HOUSE,House,House,Casa
AuditInsert.by,by,por,por
ProcessReportPdfOptions.label.volumes,Detailed,Detalhados,Detallado
ProcessReportPdfOptions.label.volumessum,Sumarized,Sumarizados,Sumarizados
ProcessReportPdfOptions.label.voyagedates,Departure and arrival dates - estimated and confirmed,Datas de saída e chegada - estimada e confirmada,Fechas de salida y llegada - estimadas y confirmadas
ProcessReportPdfOptions.label.weights,Process Weights,Pesos do Processo,Pesos del Proceso
ProcessReportPdfOptions.select.2,2,2,2
rBuilder.i18nLbChargesNetRates,Charges - Net Rates,Taxas - Net Rates,Tarifas - Tarifas Netas
rBuilder.i18nLbChargesSellRates,Charges - Selling Rates,Charges - Selling Rates,Cargos - Tarifas de venta
rBuilder.i18nLbChargeType,Type Charge,Tipo da Taxa,Tipo de cargo
rBuilder.i18nLbCheck,Check,Check,Verificar
rBuilder.i18nLbCheckList,Checklist,Checklist,Lista de verificación
rBuilder.i18nLbCity,City:,Cidade:,Ciudad:
rBuilder.i18nLbDataExchange,Exchange Date,Data do Câmbio,Fecha de intercambio
rBuilder.i18nLbDate,Date,Data,Fecha
rBuilder.i18nLbDays,Days,Dias,Días
rBuilder.i18nLbDeadLineCargaSd,Cargo/Cut Off,Carga/SD:,Carga/Corte
rBuilder.i18nLbDeadLineCarrier,Deadline Carrier,DeadLine Armador,Plazo de entrega del transportista
rBuilder.i18nLbDeadLineCustomer,Deadline Customer,DeadLine Cliente,Plazo límite del cliente
rBuilder.i18nLbDeadLineDraft,Draft:,Draft:,Borrador:
rBuilder.i18nLbDeadLineEnvioDraft,Send Carrier:,Envio Armador:,Envío del transportista:
rBuilder.i18nLbDeliveryAddress,Delivery Address,Endereço de Entrega:,Dirección de entrega
rBuilder.i18nLbDeliveryDate,Delivery Date,Data de Entrega:,Fecha de entrega
rBuilder.i18nLbDemurrage,DEMURRAGE,DEMURRAGE,DEMORA
rBuilder.i18nLbDescription,Description,Descrição,Descripción
rBuilder.i18nLbDistrict,District,Bairro,Distrito
rBuilder.i18nLbHBLHAWB,HBL / HAWB,HBL / HAWB,HBL / HAWB
rBuilder.i18nLbHouse,House,House,Casa
rBuilder.i18nLbHSCode,HTS CODE,HTS CODE,CÓDIGO HTS
rBuilder.i18nLbIncoterm,Incoterm:,Incoterm:,Incoterm:
rBuilder.i18nLbIncotermWithout,Incoterm,Incoterm,Incoterm
rBuilder.i18nLbInitialDate,Initial date:,Data inicial:,Fecha inicial:
rBuilder.i18nLbInitialPlace,Initial Place:,Local Inicial:,Lugar inicial:
rBuilder.i18nLbInvoice,Invoice,Invoice,Factura
rBuilder.i18nLbInvoiceAgent,Invoice Agent,Invoice Agent,Agente de Facturación
rBuilder.i18nLbInvoiceNumber,Invoice Nº:,Invoice Nº:,Nº de factura:
rBuilder.i18nLbInvoiceTitle,INVOICE #:,INVOICE Nº:,FACTURA #:
rBuilder.i18nLblCurr,$,$,$
rBuilder.i18nLbMinor45,-45,-45,-45
rBuilder.i18nLbModal,Modal:,Modal:,Modal:
rBuilder.i18nLbNCMCode,NCM HS CODE,NCM HS CODE,Código NCM HS
rBuilder.i18nLbNotes,Notes,Observações,Notas
rBuilder.i18nLbNotify,Notify:,Notify:,Notificar:
rBuilder.i18nLbNotifyShort,Notify,Notify,Notificar
rBuilder.i18nLbObs,Notes,Observações,Observaciones
rBuilder.i18nLbOccurrence,Events,Eventos,Eventos
rBuilder.i18nLbOrigin,Origin,Origem,Origen
rBuilder.i18nLbOriginals,Originals,Originais,Originales
rBuilder.i18nLbOutgoing,Expenses,Despesas,Gastos salientes
rBuilder.i18nLbOver120,OVER 120,OVER 120,MÁS DE 120
rBuilder.i18nLbOver30,OVER 30,OVER 30,MÁS DE 30
rBuilder.i18nLbOver60,OVER 60,OVER 60,MÁS DE 60
RoleActionsGroup.label.details,Details,Detalhes,Detalles
SetProcess.alert.success,Process successfully updated,Processo atualizado com sucesso,Proceso actualizado con éxito
Settings.button.organizations,Organizations,Organizações,Organizaciones
StatusTypes.ACTIVE,Active,Ativo,Activo
Warning.InvoiceInStatement,This Invoice composes a Statement. Can not be edited through this screen.,Esta Invoice compõe um Statement. Não pode ser editada através desta tela.,Esta factura forma parte de un estado de cuenta. No se puede editar a través de esta pantalla.
Widget.table-my-map,My shipments,Meus embarques,Mis envíos
Label.notes,Notes,Notas / Observações,Notas
ActionGroupTypes.QUOTATION,Quotation,Cotação,Cotización
ActionGroupTypes.SEA,Sea,Marítimo,Marítimo
Action.name.ADDADDRESS,Add Address,Adicionar Endereço,Agregar dirección
Action.name.ADDAGENT,Add Agent,Adicionar Agente,Agregar Agente
Action.name.ADDAIRPORT,Add Airport,Adicionar Aeroporto,Agregar aeropuerto
Action.name.ADDCARRIERDEMURRAGE,Add Carrier Demurrage,Adicionar Demurrage do Armador,Agregar Demora del Transportista
Action.name.ADDCHARGE,Add Charge,Adicionar Taxa,Agregar Cargo
Action.name.ADDCHARGECALCULATION,Add Charge Calculation,Adicionar Cálculo de Taxa,Agregar Cálculo de Cargo
Action.name.ADDCHECKLISTGROUP,Add Checklist,Adicionar Checklist,Agregar lista de verificación
Action.name.ADDCOCARGOPRESENCE,Add Cargo Presence,Adicionar Presença de Carga,Agregar Presencia de Carga
Action.name.ADDCODECLARATION,Add Customs Declaration,Adicionar Declaração (DIR),Agregar Declaración Aduanera
Action.name.ADDCODEVOLUTION,Add Devolution,Adicionar Devolução,Agregar Devolución
Action.name.ADDCOMANIFEST,Add Manifest,Adicionar Manifesto,Agregar Manifiesto
Action.name.ADDCOMMISSION,Add Commission,Adicionar Comissão,Agregar Comisión
Action.name.ADDCOMPANY,Add Company,Adicionar Empresa,Agregar Empresa
Action.name.ADDCOMPANYCOSTCENTER,Add % Cost Center at Company,Adicionar % Centro de Custo na Empresa,Agregar % Centro de Costo en la Empresa
Action.name.ADDCOMPANYSERVICE,Add Service,Adicionar Serviço,Agregar servicio
Action.name.ADDCONTACT,Add Contact,Adicionar Contato,Agregar contacto
Action.name.ADDCOPAYMENT,Add Payment (DARF),Adicionar Pagamento (DARF),Agregar Pago (DARF)
Action.name.ADDCOREVIEWREQUEST,Add Review Requests,Adicionar Pedidos de Revisão,Agregar solicitudes de revisión
Action.name.ADDCOSTCENTER,Add Cost Center,Criar Centro de Custo,Agregar centro de costos
Action.name.ADDCOUNTRYFLAGS,Add Country,Adicionar País,Agregar país
Action.name.ADDDEPARTAMENT,Add Department,Adicionar Departamento,Agregar Departamento
Action.name.ADDDEPARTMENT,Add Department,Adicionar Departamento,Agregar Departamento
Action.name.ADDDIALECT,Add Dialect,Adicionar Dialeto,Agregar Dialecto
Action.name.ADDDOCUMENT,Add Document,Adicionar Documento,Agregar documento
Action.name.ADDDRIVER,Add Driver,Adicionar Motorista,Agregar Conductor
Action.name.ADDEMAIL,Add Email,Adicionar Email,Agregar correo electrónico
Action.name.ADDEMAILLAYOUT,Add Email Layout,Adicionar Layout de Email,Agregar diseño de correo electrónico
ActionGroupTypes.EXPORT,Export,Exportação,Exportación
ActionGroupTypes.PROCESS,Process,Processo,Proceso
ActionGroupTypes.USERS,Users,Usuários,Usuarios
Action.name.ADDAWBSEQUENCE,Add AWB Sequence,Adicionar Sequence de AWB,Agregar secuencia de AWB
Action.name.ADDBANKACCOUNT,Add Bank Account,Adicionar Conta Bancária,Agregar cuenta bancaria
Action.name.ADDCARRIER,Add Carrier,Adicionar Armador,Agregar transportista
Action.name.ADDEMPLOYEE,Add Office Employee,Adicionar Funcionários no Escritório,Agregar Empleado de Oficina
Action.name.ADDFILE,Add Files Attachments,Adicionar Arquivos de Anexos,Agregar archivos adjuntos
Action.name.ADDFINANCIALBANKACCOUNT,Add bank account with balance,Adicionar banco com valor,Agregar cuenta bancaria con saldo
Action.name.ADDGOODS,Add Goods,Adicionar Mercadoria,Agregar mercancías
Action.name.ADDGOODSCOMPANY,Add a Company to Goods,Adicionar Empresa a Mercadoria,Agregar una empresa a la mercancía
Action.name.ADDIATAOVER,Add IATA / Over Charges,Adicionar Taxas de IATA e Over,Agregar cargos de IATA / Over
Action.name.ADDIMPORTFILE,Add File Import Data,Adicionar Arquivo de Importação de Dados,Agregar archivo de importación de datos
Action.name.ADDINCOTERMCHARGE,Add Incoterm Charge,Adicionar Taxa do Incoterm,Agregar cargo de Incoterm
Action.name.ADDINCOTERMRULES,Add Incoterm Rules,Adicionar Regras do Incoterm,Agregar reglas de Incoterm
Action.name.ADDINSTRUCTION,Add Instruction,Adicionar Instrução,Agregar Instrucción
Action.name.ADDINVITE,Invite a User,Convidar um Usuário,Invitar a un usuario
Action.name.ADDINVOICECHARGE,Add Invoice Charge,Adicionar Taxa da Invoice,Agregar cargo de factura
Action.name.ADDINVOICEPARCEL,Add Invoice Parcel,Adicionar Parcela da Invoice,Agregar parcela de factura
Action.name.ADDLATEFEE,Add Demurrage / Detention,Adicionar Demurrage / Detention,Agregar Demora / Detención
Action.name.ADDLATEFEEINVOICE,Add Demurrage / Detention Invoice,Adicionar Invoice de Demurrage / Detention,Agregar factura de demora / detención
Action.name.ADDLATEFEEVOLUME,Add Demurrage / Detention Volume,Adicionar Volume de Demurrage / Detention,Agregar Volumen de Demora / Detención
Action.name.ADDMEMBER,Add Company Members,Adicionar Membros na Empresa,Agregar miembros a la empresa
Action.name.ADDOCCURRENCE,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
Action.name.ADDOFFICE,Add Office,Adicionar Escritório,Agregar Oficina
Action.name.ADDOFFICESALESMAN,Add Salesperson,Adicionar Vendedor ao Escritório,Agregar vendedor al despacho
Action.name.ADDORDER,Add Order,Adicionar Pedido,Agregar Pedido
Action.name.ADDORGANIZATIONPRINTSETTINGS,Add Default Impression,Adicionar Padrões de Impressão,Agregar Impresión Predeterminada
Action.name.ADDOWNERCHARGE,Add Charge,Adicionar Taxa,Agregar cargo
Action.name.ADDPAYER,Add Payer,Adicionar Pagador,Agregar Pagador
Action.name.ADDPAYMENT,Add Payment,Adicionar Pagamento,Agregar Pago
Action.name.ADDPAYMENTTERM,Add Term of Payment,Adicionar Prazo de Pagamento,Agregar plazo de pago
Action.name.ADDPHONE,Add Phone,Adicionar Telefone,Agregar Teléfono
Action.name.ADDPORT,Add Port,Adicionar Porto,Agregar puerto
Action.name.ADDPRICING,Add Pricing,Adicionar Pricing,Agregar precios
Action.name.ADDPRICINGPROFITSHARE,Add Profit Share Charge,Adicionar Taxa de Profit Charge,Agregar cargo de participación en las ganancias
Action.name.ADDPRICINGVOLUME,Add Pricing Volume,Adicionar Volume no Pricing,Agregar Volumen de Precios
Action.name.ADDPROCESSAIREXPORT,Add Process Air - Import,Adicionar Processo Aéreo - Importação,Agregar Proceso Aéreo - Importación
Action.name.ADDPROCESSAIRIMPORT,Add Process Air - Import,Adicionar Processo Aéreo - Importação,Agregar Proceso Aéreo - Importación
Action.name.ADDPROCESSCHARGE,Add Process Charge,Adicionar Taxa ao Processo,Agregar Cargo de Proceso
Action.name.ADDPROCESSCOURIERIMPORT,Add Process Courier - Import,Adicionar Processo Remessa - Importação,Agregar Proceso de Mensajería - Importación
Action.name.ADDPROCESSGOODS,Add Process Goods,Adicionar Mercadorias do Processo,Agregar mercancías al proceso
Action.name.ADDPROCESSGROUNDEXPORT,Add Process Ground - Export,Adicionar Processo Rodoviário - Exportação,Agregar Proceso Terrestre - Exportación
Action.name.ADDPROCESSGROUNDIMPORT,Add Process Ground - Import,Adicionar Processo Rodoviário - Importação,Agregar Proceso Terrestre - Importación
Action.name.ADDPROCESSGROUNDNATIONAL,Add Process Ground National,Adicionar Processo Rodoviário Doméstico,Agregar Proceso Terrestre Nacional
Action.name.ADDPROCESSMULTIMODAL,Add Process Multi Modality,Adicionar Processo Multi Modalidades,Agregar Proceso de Multimodalidad
Action.name.ADDPROCESSOTHERSERVICE,Add Other Service,Adicionar Outros Serviços,Agregar Otro Servicio
Action.name.ADDPROCESSPROFITSHARE,Add Process Profit Share Charge,Adicionar Taxa de Profit Share no Processo,Agregar cargo de participación en las ganancias del proceso
Action.name.ADDPROCESSSALESMAN,Add Salesperson to Process,Adicionar Vendedor ao Processo,Agregar vendedor al proceso.
Action.name.ADDPROCESSSEAEXPORT,Add Process Sea - Export,Adicionar Processo Marítimo - Exportação,Agregar Proceso Marítimo - Exportación
Action.name.ADDPROCESSSEAIMPORT,Add Process Sea - Import,Adicionar Processo Marítimo - Importação,Agregar Proceso Marítimo - Importación
Action.name.ADDPROCESSVEHICLE,Add Process Vehicle,Adicionar Veículo ao Processo,Agregar Vehículo al Proceso
Action.name.ADDPROCESSVOLUME,Add Process Volume,Adicionar Volume ao Processo,Agregar Volumen al Proceso
Action.name.ADDPROFITSHARE,Add Profit Share,Adicionar Negociação de Profit Share,Agregar Participación en las Ganancias
Action.name.ADDQUOTATION,Add Quotation,Adicionar Cotação,Agregar cotización
Action.name.ADDQUOTATIONVOLUME,Add Quotation Volume,Adicionar Volume da Cotação,Agregar Volumen de Cotización
Action.name.ADDROLE,Add Role,Adicionar Perfil,Agregar Rol
Action.name.ADDSALESCHARGE,Add Charge,Adicionar Taxa,Agregar Cargo
Action.name.ADDSALESMAN,Add Salesperson,Adicionar Vendedor,Agregar vendedor
Action.name.ADDSALESPROCESS,Add Pricing / Quotation Charge,Adicionar Taxa de Pricing / Quotation,Agregar cargo de precios / cotización
Action.name.ADDSERVICETYPE,Add Service Type,Adicionar Tipo de Serviço,Agregar tipo de servicio
Action.name.ADDSHEET,Add Sheet,Adicionar Planilha,Agregar Hoja
Action.name.ADDSOP,Add Office's SOP,Adicionar SOP de Escritório,Agregar SOP de Oficina
Action.name.ADDSTATEMENT,Add Statement,Adicionar Statement,Agregar declaración
Action.name.ADDSTATEMENTINVOICES,Link Invoice to a Statement,Vincular Invoice a um Statement,Vincular factura a un estado de cuenta
Action.name.ADDSUBSTATUS,Add Sub Status,Adicionar Sub Status,Agregar subestado
Action.name.ADDSYSTEMCOMPANY,Register companies of the Group to my Organization,Cadastrar empresas do Grupo a minha Organização,Registrar empresas del Grupo en mi Organización
Action.name.ADDSYSTEMCONFIGURATION,Add System Configuration,Adicionar Configurações do Sistema,Agregar Configuración del Sistema
Action.name.ADDSYSTEMOFFICE,Register my company branches,Cadastrar escritórios filiais a minha Empresa,Registrar las sucursales de mi empresa en el sistema
Action.name.ADDTHIRDPART,Add Third Part,Adicionar Terceiro Comissionado,Agregar tercero comisionado
Action.name.ADDTRADINGPROCESS,Add Trading Process,Adicionar Processo de Trading,Agregar Proceso de Trading
Action.name.ADDTRANSHIPMENT,Add Transhipment,Adicionar Transbordo,Agregar Transbordo
Action.name.ADDUSER,Add User,Adicionar Usuário,Agregar usuario
Action.name.ADDVEHICLE,Add Vehicle,Adicionar Veículo,Agregar vehículo
Action.name.ADDVESSEL,Add Vessel,Adicionar Navio,Agregar Buque
Action.name.AIRLINEAWBSEQUENCES,View AWB Sequence,Visualizar Sequence de AWB,Ver secuencia de AWB
Action.name.AIRPORTS,View Airports,Visualizar Aeroportos,Ver Aeropuertos
Action.name.ALLOWUSERBEAWARENONCONFORMITY,Allow user be aware about nonconformity ,Permitir usuário dar ciência de não conformidade,Permitir que el usuario tenga conocimiento de la no conformidad.
Action.name.BALANCECREDITS,View Balance Credits,Visualizar Saldo de Créditos,Ver créditos de saldo
Action.name.BATCHIMPORTFILECOURIER,Import File - Courier Shipments,Importar Arquivo - Remessas de Courier/ Correios,Importar archivo - Envíos de mensajería
Action.name.BOOKINGBATCH,Add / Set Booking,Adicionar e Editar Booking,Agregar / Establecer Reserva
Action.name.CANCELNFEINVOICE,Cancel NF-e,Cancelar NF-e,Cancelar NF-e
Action.name.CARRIERDEMURRAGES,View Carrier Demurrages,Visualizar Demurrages do Armador,Ver Demoras del Transportista
Action.name.CHANGEPASS,Change Password,Alterar Password,Cambiar Contraseña
Action.name.CHARGECALCULATIONS,View Charge Calculations,Visualizar Cálculos de Taxa,Ver cálculos de cargos
Action.name.CHARGES,View Charges,Visualizar Taxas,Ver cargos
Action.name.CHECKPASSWORD,Check Password,Checar Password,Verificar contraseña
Action.name.COMMISSIONCHARGEBATCH,Add and Edit Batch Commission Fees,Adicionar e Editar em lote Taxas de Comissão,Agregar y editar tarifas de comisión por lotes
Action.name.COMMISSIONCHARGES,View Commission Charges,Visualizar Taxas de Comissão,Ver cargos de comisión
Action.name.COMMISSIONPROCESSBATCH,Batch Add / Set Processes Commissions,Adicionar e Editar em Lote Processos na Comissão,Agregar y establecer en lote procesos de comisiones.
Action.name.COMPANYAGENT,View Agents,Visualizar Agentes,Ver Agentes
Action.name.COMPANYAIRLINE,View Airline,Visualizar CIAs Aéreas,Ver aerolínea
Action.name.COMPANYCARRIER,View Carriers,Visualizar Armadores,Ver transportistas
Action.name.COMPANYCHARGES,View Charges,Visualizar Taxas,Ver cargos de la compañía
Action.name.COMPANYCOMPANYCOSTCENTERS,View Company Cost Centers Aggreements,Visualizar Acordos de Centro de Custo,Ver acuerdos de centros de costos de la compañía
Action.name.COMPANYCUSTOMER,View Customer,Visualizar Cliente,Ver Cliente
Action.name.COMPANYDRIVERS,View Drivers,Visualizar Motoristas,Ver Conductores
Action.name.COMPANYFILES,View Companies Attachments,Visualizar Anexos de Empresas,Ver archivos adjuntos de empresas
Action.name.COMPANYMEMBERS,View Company Members,Visualizar Membros da Empresa,Ver miembros de la empresa
Action.name.COMPANYNETWORKING,View Networking,Visualizar Networwing,Ver Networking
Action.name.COMPANYOCCURRENCES,View Occurrences,Visualizar Ocorrências,Ver Ocurrencias
Action.name.COMPANYOFFICES,View Offices,Visualizar Escritórios,Ver Oficinas
Action.name.COMPANYPARTNERS,View Partners Companies (on SmartComex),Visualizar Empresas Parceiras (no SmartComex),Ver Empresas Asociadas (en SmartComex)
Action.name.COMPANYPROFITSHARES,View Profit Shares,Visualizar Profit Share,Ver Participación en Ganancias de la Empresa
Action.name.COMPANYRPTBANKTRANSACTION,Bank Transaction Report,Relatório de movimentação bancária,Informe de transacciones bancarias
Action.name.COMPANYRPTCASHFLOWSDETAIL,Company's Detailed Cash Flow,Fluxo de Caixa Detalhado da Empresa,Detalle del flujo de caja de la empresa
Action.name.COMPANYRPTFINANCIALTOTALPERPROCESS,Total Process - Company,Totais dos Processos  - Empresa,Total del Proceso - Empresa
Action.name.COMPANYRPTFOXOCCURRENCEPRODUCTIVITY,Process Productivity by Occurrences - Company,Produtividade dos Processos por Ocorrências - Empresa,Productividad del proceso por ocurrencias - Empresa
Label.AwaitingCustomerFilling,Awaiting customer filling,Aguardando preenchimento do cliente,Esperando el llenado del cliente
Action.name.COMPANYRPTINVOICESTOTAL,Invoce's Total Report - Company,Relatório Total das Invoices - Empresa,Informe Total de Facturas - Empresa
Action.name.COMPANYRPTMOORINGCONTROL,Report Mooring and Billing - Company,Relatório Atracação e Faturamento - Empresa,Informe de Amarre y Facturación - Empresa
Action.name.COMPANYRPTPROCESSGENERAL,Process List Report - Company,Relatório Lista de Processos - Empresa,Informe de Lista de Procesos - Empresa
Action.name.COMPANYRPTPROCESSPERFORMANCE,Process Performance - Company,Performance dos Processos - Empresa,Rendimiento del Proceso - Empresa
Action.name.COMPANYRPTPROCESSROUTINGORDER,Process Routing Order- Company,Processos Routing Order - Empresa,Proceso de Orden de Enrutamiento - Empresa
Action.name.COMPANYRPTQUOTATIONGENERAL,General Quotation Report - Company,Relatório Geral de Cotação - Empresa,Informe General de Cotización - Empresa
Action.name.COMPANYSERVICES,View Services,Visualizar Serviços,Ver Servicios
Action.name.COMPANYTHIRDPART,View Third Part,Visualisar Terceiro Comissionado,Ver Tercero Comisionado
Action.name.COMPANYVEHICLES,View Vehicles,Visualizar Veículos,Ver vehículos
Action.name.DELETEPORT,Delete Port,Remover Porto,Eliminar Puerto
Action.name.COMPANYVWPROCESSCHARGEINVOICENULL,Charge WithOut Invoice - Company,Taxas sem Invoice - Empresa,Cobro sin factura - Empresa
Action.name.COMPANYVWRPTLATEFEE,Demurrage Report - Company,Relatório de Demurrage - Empresa,Informe de Demora - Empresa
