dsmsgkey,dsenus,dsptbr,dseses
Placeholder.nmOffice,Office name,Nome do escritório,Nombre de la oficina
Caption.cdInvoice,Invoice,Invoice,Factura
SideMenuComponent.label.commissions,Commissions,Comissões,Comisiones
NavRoute.title.commissions,Commissions,Comissões,Comisiones
"Breadcrumb.commissions
",Commissions,Comissões,Comisiones
Button.yes,Yes,Sim,Sí
PricingVolume.placeholder.vlCubic,Cubage,Cubagem,Volumen
Breadcrumb.commissions,Commissions,Comissões,Comisiones
Breadcrumb.countries,Countries,Países,Países
SideMenuComponent.label.seaOperation,Sea Operations,Operações Marítimas,Operaciones Marítimas
SideMenuComponent.label.otherServices,Other Services,Outros Serviços,Otros servicios
NavRoute.title.process.service.other,Other Services,Outros Serviços,Otros servicios
Placeholder.obOriginInput,Type the initial place,Digite o local inicial,Escribe el lugar inicial
Caption.cdCustomerReference,Customer Ref,Ref do Cliente,Referencia del cliente
Caption.flPrintCharge,Print,Imprimir,Imprimir
Label.tpGender,Gender,Gênero,Género
Caption.dtTrackingLastUpdate,Last Tracking Update,Ult. Atualização Tracking,Última actualización de seguimiento
ProcessForm.label.nbTransitTime,Transit Time (days),Transit Time (dias),Tiempo de tránsito (días)
SideMenuComponent.label.trackingManagement,Tracking Management,Gerenciamento de Tracking,Gestión de seguimiento
PricingVolume.label.vlCubic,Cubic,Cubagem,Cúbico
Label.close,Close,Fechar,Cerrar
Placeholder.dsPassword,Password,Senha,Contraseña
Button.login,Login,Entrar,Iniciar sesión
Label.lastName,Last name,Sobrenome,Apellido
Tooltip.duplicate,Duplicate,Duplicar,Duplicado
NavRoute.subtitle.commissionEditing,Commission Editing,Edição de Comissão,Edición de comisión
SmartTutorial.actionsCdCountry,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
SalesChargeForm.label.nbQuantity,Quantity,Quantidade,Cantidad
ProcessForm.label.nmChecklist,Checklist,Checklist,Lista de verificación
Caption.nmChecklist,Checklist,Checklist,Lista de verificación
Airports.header.addAirport,Add Airport,Adicionar Aeroporto,Añadir aeropuerto
Caption.nmNotify,Notify,Notify,Notificar
Button.import,Import,Importar,Importar
Caption.tpPayment,Payment,Pagamento,Pago
Button.remove,Remove,Remover,Eliminar
Label.commodity2,Packages,Packages,Paquetes
Caption.nmVia,Via,Via,"""Via"" se traduce al español como ""camino"" o ""vía"""
ProcessAdmin.label.Title,Process Finish,Encerramento do Processo,Proceso finalizado
Label.idCompany,Company,Empresa,Compañía
Label.commodity4,Gross Weight,Gross Weight,Peso bruto
Caption.nmFinalDestination,Final Destination,Destino Final,Destino final
Label.commodity3,Description of Goods,Description of Goods,Descripción de los bienes
introJS.skipLabel,Skip,Pular,Omitir
Label.commodity5,Measurement,Measurement,Medición
EditProcessHandlingInfo.label.handlingInfo,Handling Information,Informações de Handling,Manejo de información
EditProcessHandlingInfo.Placeholder.handlingInfo,Handling Information,Informações de Handling,Manejo de información
Caption.dsContent,Content,Conteúdo,Contenido
Button.actions.processAdmin,Process Finish,Encerramento do Processo,Proceso finalizado
introJS.doneLabel,Done,Concluído,Hecho
introJS.prevLabel,Previous,Anterior,Anterior
Caption.vlWeightBilled,Chargeable Weight,Peso Taxado,Peso Cargable
EditProcessVolumeList.label.volumeList,Handling Information,Lista de Volumes,Manejo de información
EditProcessVolumeList.placeholder.volumeList,Handling Information,Lista de Volumes,Manejo de información
Button.accept,Accept,Aceitar,Aceptar
EditProcess.label.update,Update,Atualizar,Actualizar
Placeholder.name,Type the name,Digite o nome,Escribe el nombre
CommercialForm.label.pricing.obShipper,Shipper,Shipper,Remitente
Breadcrumb.coupons,Coupons,Cupons,Cupones
NavRoute.title.coupon,Coupons,Cupons,Cupones
Placeholder.cdCoupon,Type your coupon,Digite seu cupom,Escriba su cupón
EditProcessQuantityOfGoods.label.quantityOfGoods,Quantity of Goods,Quantidade de Mercadorias,Cantidad de bienes
EditProcessQuantityOfGoods.placeholder.quantityOfGoods,Quantity of Goods,Quantidade de Mercadorias,Cantidad de bienes
Button.confirm,Confirm,Confirmar,Confirmar
Label.nmFirst,First name,Nome,Nombre de pila
ProcessReportPdfOptions.label.gAgentpay,Remittance Agent,Agente Remessa,Agente de Remesas
SideMenuComponent.label.coupons,Coupons,Cupons,Cupones
Button.empty,Empty,Vazio,Vacío
Button.update,Update,Atualizar,Actualizar
Button.resetDefault,Restore Default,Restaurar Padrão,Restaurar valores predeterminados
DataGrid.button.cleanFilters,Clean filters,Limpar filtros,Limpiar filtros
Caption.dsRoutingOrder,RO,RO,"Lo siento, no puedo traducir ""RO"" ya que no tengo suficiente contexto para interpretar su significado. Por favor proporcione más información o una oración completa para que pueda ayudarlo mejor"
Caption.nmCneeHouse,CNEE (House),CNEE (House),CNEE (Casa)
Caption.nmCneeMaster,CNEE (Master),CNEE (Master),CNEE (Maestro)
Caption.stPayment,Payment,Pagamento,Pago
EditSalesman.header.editSalesman,Salesperson Editing,Edição de Vendedor,Edición de vendedor
SalesmanList.header.editSalesman,Salesperson Editing,Edição de Vendedor,Edición de vendedor
SideMenuComponent.label.certificates,Certificates,Certificados,Certificados
Tooltip.view,View,Visualizar,Ver
Certificate.header.addCertificate,Add Certificate,Adicionar Certificado,Agregar Certificado
Caption.tpBuyOrSell,Type,Tipo,Tipo
Label.cdCompany,Code,Código,Código
CertificateForm.type.tpCertificate,Certificate Access,Acessos do Certificado,Acceso al certificado
Label.idSalesman2,Salesperson 2,Vendedor 2,Vendedor 2
PasswordRecoveryFormCmp.button.cancel,Cancel,Cancelar,Cancelar
Placeholder.cdCurGoods,Select the currency,Selecione a moeda,Selecciona la moneda
Caption.nmCustomerContact,Customer Contact,Contato do Cliente,Contacto con el cliente
Caption.received,Received,Recebido,Recibido
SmartTutorial.actionsCheckOperation,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
CommercialForm.label.pricing.obConnections,Connections,Conexões,Conexiones
ProcessForm.label.obConnections,Connections,Conexões,Conexiones
Placeholder.unit,Unit,Unidade,Unidad
Caption.payed,Paid,Pago,Pagado
Button.salesmen,Salespersons,Vendedores,Vendedores
ProcessVolumeForm.label.nbVolumeQuantity,Quantity,Quantidade,Cantidad
Caption.carrier,Carrier,Armador,Transportista
Caption.flCommission,Commission,Comissão,Comisión
SetProcessCharge.alert.success,Charge updated successfully,Taxa atualizada com sucesso,Carga actualizada exitosamente
Invoices.button.addInvoice,Add Invoice,Adicionar Invoice,Agregar factura
Caption.cdOrigin,Origin,Origem,Origen
Caption.dtEtd,ETD,ETD,"ETD significa ""Tiempo estimado de salida"" en inglés"
Caption.dtProcess,Process Date,Data do Processo,Fecha de Procesamiento
Caption.dtAtd,ATD,ATD,"Lo siento, no puedo traducir ""ATD"" ya que no tengo suficiente contexto para interpretar su significado. Por favor proporcione más información o contexto para que pueda ayudarlo mejor"
Button.customers,Customers,Clientes,Clientes
ProcessForm.label.dtEta,ETA,ETA,"Traducción:
ETA (siglas de Euskadi Ta Askatasuna) es una organización separatista vasca que ha llevado a cabo numerosos actos de violencia en España en su lucha por la independencia del País Vasco"
Caption.plan,Plan,Plano,Plan
SmartTutorial.actionsCheckStProcess,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
Button.contacts,Contacts,Contatos,Contactos
Caption.nmVertical,Vertical,Vertical,Vertical
Placeholder.deductionsAmount,Type the total value,Digite o valor total,Escribe el valor total
NoOrganizationsComponent.button.startNow,Start Now,Comece Agora,Comience ahora
Caption.dsStreet,Address,Endereço,Dirección
Caption.dsCneeHouse,CNEE (House),CNEE (House),CNEE (Casa)
Caption.flDirect,Direct,Direto,Directo
Caption.flProject,Project,Projeto,Proyecto
Caption.dsFinalDestination,Final Destination,Destino Final,Destino final
Caption.nbAddress,Number,Número,Número
NoOrganizationsComponent.placeholder.coupon,Type your coupon,Digite seu cupom,Escribe tu cupón
Caption.dsBooking,Booking Number,Número da Reserva,Número de reserva
Caption.tpDocument,Document Type,Tipo Documento,Tipo de documento
Caption.dtDlCargo,Cargo/DUE cut off,Carga/SD,Corte de carga/DUE
Caption.dsComplement,Complement,Complemento,Complemento
Caption.dsCneeMaster,CNEE (Master),CNEE (Master),CNEE (Maestro)
Caption.dsDocument,Document,Documento,Documento
Tooltip.contacts,Contacts,Contatos,Contactos
Caption.profit,Profit,Profit,Beneficio
Caption.dsDistrict,District,Bairro,Distrito
Label.salesperson,Salesperson,Vendedor,Vendedor/a
Tooltip.occurences,Occurrences,Ocorrências,Ocurrencias
NavRoute.title.merchant,Merchant,Mercante,Comerciante
SideMenuComponent.label.merchant,Merchant,Mercante,Comerciante
Breadcrumb.merchant,Merchant,Mercante,Comerciante
Placeholder.select,Select,Selecione,Seleccionar
NavRoute.title.otherServices,Other Services,Outros Serviços,Otros servicios
SmartPopover.config.nbFreeTimeDemurrageVolume,"Only fill in if the freetime is different from the process. <br /><b>Example:</b> If the process has 5 CNTR 20 dry, and 1 CNTR 40 NOR, the free time of 40 NOR is different from the others, so it can be configured here.","Preencher somente se o free time for diferente do processo.<br /><b>Exemplo:</b> caso o processo tenha 5 CNTR 20 dry, e 1 CNTR 40 NOR, o free time do 40 NOR é diferente dos outros, sendo assim podendo ser configurado aqui.","Solo completar si el tiempo libre es diferente al proceso. <br /><b>Ejemplo:</b> Si el proceso tiene 5 CNTR 20 secos y 1 CNTR 40 NOR, el tiempo libre de 40 NOR es diferente a los demás, por lo que se puede configurar aquí."
Breadcrumb.companies,Companies,Empresas,Empresas
Button.addCompany,Add Company,Adicionar Empresa,Añadir Compañía
RoleList.paginator.roles,Profiles,Perfis,Perfiles
Placeholder.dsEmail,Email,E-mail,Correo electrónico
Caption.vlBuy,Buy,Compra,Comprar
TypedOfficeSelect.default.placeholder,Select Office,Selecione o Escritório,Seleccionar Oficina
Caption.flRoutingOrder,RO,RO,"Lo siento, no puedo traducir ""RO"" ya que no tengo suficiente contexto para interpretar su significado. Por favor proporcione más información o una oración completa para que pueda ayudarlo mejor"
Caption.type,Type,Tipo,Tipo
FirstOrganizationComponent.button.next,Next,Próximo,Siguiente
Placeholder.search,Search,Pesquisar,Buscar
AddressStepComponent.button.newAddress,New address,Novo endereço,Nueva dirección
CompanyFormGroupComponent.placeholder.country,Choose the country,Escolha o país,Elige el país
BillingPlanComponent.label.country,Country,País,País
PlanItemComponent.label.value,Value,Valor,Valor
BillingPlanComponent.label.creditCard,Credit Card,Cartão de Crédito,Tarjeta de crédito
SideMenuComponent.label.vessels,Vessels,Navios,Barcos
CreditCardOrderComponent.label.address,Address,Endereço,Dirección
BillingPlanComponent.button.close,Close,Fechar,Cerrar
BillingPlanComponent.button.confirm,Confirm,Confirmar,Confirmar
SideMenuComponent.label.plans,Plans,Planos,Planes
NavTabsComponent.label.addVessel,Add vessel,Adicionar navio,Añadir embarcación
NavTabsComponent.label.add,Add,Adicionar,Agregar
SideMenuComponent.label.dashboard,Dashboard,Dashboard,Panel de control
BillingPlanComponent.placeholder.payWith,Choose the payment method,Escolha o método de pagamento,Elige el método de pago
FirstOfficeComponent.button.startNow,Start Now,Comece Agora,Comience ahora
BillingPlanComponent.placeholder.country,Choose the country,Escolha o país,Elige el país
CreditCardOrderComponent.label.creditCard,Credit Card,Cartão de Crédito,Tarjeta de crédito
CreditCardStepComponent.header.creditCard,Credit Card,Cartão de Crédito,Tarjeta de crédito
SummaryStepComponent.label.value,Value,Valor,Valor
SummaryStepComponent.header.creditCard,Credit Card,Cartão de Crédito,Tarjeta de crédito
CreditCardStepComponent.button.back,Back,Voltar,Espalda
SummaryStepComponent.button.back,Back,Voltar,Espalda
AddressStepComponent.label.address,Address,Endereço,Dirección
AddressStepComponent.dt.address,Address,Endereço,Dirección
SummaryStepComponent.dt.address,Address,Endereço,Dirección
ChooseOrganizationComponent.button.confirmSelection,Confirm,Confirmar,Confirmar
SummaryStepComponent.label.credits,Credits,Créditos,Créditos
ChooseOrganizationComponent.header.chooseOrganization,Organization,Organização,Organización
CredCardFormGroupComponent.label.expiration,Expiration,Vencimento,Caducidad
SummaryStepComponent.dt.expiration,Expiration,Vencimento,Caducidad
AddressStepComponent.button.next,Next,Próximo,Siguiente
CreditCardStepComponent.button.next,Next,Próximo,Siguiente
SummaryStepComponent.header.plan,Plan,Plano,Plan
AddressStepComponent.dt.city,City,Cidade,Ciudad
SummaryStepComponent.dt.city,City,Cidade,Ciudad
AddressStepComponent.dt.zipCode,Zip Code,CEP,Código postal
SummaryStepComponent.dt.zipCode,Zip Code,CEP,Código postal
AddressStepComponent.header.address,Billing Address,Endereço de Cobrança,Dirección de facturación
SummaryStepComponent.header.billingAddress,Billing Address,Endereço de Cobrança,Dirección de facturación
CredCardFormGroupComponent.label.cvv,Security Code,Código de Segurança,Código de seguridad
SummaryStepComponent.dt.cvv,Security Code,Código de Segurança,Código de seguridad
ChooseOrganizationComponent.placeholder.selectOrganization,Select organization,Selecione a organização,Seleccionar organización
CreditCardOrderComponent.label.summary,Summary,Sumário,Resumen
SummaryStepComponent.header.summary,Summary,Sumário,Resumen
CredCardFormGroupComponent.label.lastName,Last Name,Sobrenome,Apellido
CredCardFormGroupComponent.placeholder.lastName,Type your last name,Digite seu sobrenome,Escribe tu apellido
ChooseOfficeComponent.header.chooseOffice,Office,Escritório,Oficina
NavRoute.title.vessels,Vessels,Navios,Barcos
BillingHistoryComponent.caption.value,Value,Valor,Valor
VesselFormGroupComponent.label.name,Name,Nome,Nombre
Vessels.paginator.vessels,Vessels,Navios,Barcos
Vessels.header.vessels,Vessels,Navios,Barcos
AddVesselComponent.button.close,Close,Fechar,Cerrar
ChooseOfficeComponent.button.confirmSelection,Confirm,Confirmar,Confirmar
Caption.credits,Credits,Créditos,Créditos
NavRoute.title.addVessel,Add Vessel,Adicionar Navio,Agregar Buque
AddVesselComponent.header.addVessel,Add Vessel,Adicionar Navio,Agregar Buque
VesselFormGroupComponent.label.country,Flag,Bandeira,Bandera
VesselFormGroupComponent.label.dwt,DWT,DWT,"DWT (por sus siglas en inglés) se traduce como ""Peso Muerto en Toneladas"" en español"
VesselFormGroupComponent.placeholder.dwt,DWT,DWT,"DWT (por sus siglas en inglés) se traduce como ""Peso Muerto en Toneladas"" en español"
VesselFormGroupComponent.label.mmsi,MMSI,MMSI,MMSI (Sistema de Identificación de Barcos y Estaciones Marítimas)
VesselFormGroupComponent.placeholder.mmsi,MMSI,MMSI,MMSI (Sistema de Identificación de Barcos y Estaciones Marítimas)
NavRoute.title.plans,Plans,Planos,Planes
VesselFormGroupComponent.label.grossTon,Gross Ton,Gross Ton,Tonelada Bruta
VesselFormGroupComponent.placeholder.grossTon,Gross Ton,Gross Ton,Tonelada Bruta
BillingHistoryComponent.header.history,Billing History,Histórico de Pagamento,Historial de facturación
NavRoute.title.billingHistory,Billing History,Histórico de Pagamento,Historial de facturación
VesselFormGroupComponent.label.imo,IMO,IMO,"En mi opinión (IMO en inglés significa ""In My Opinion"")"
VesselFormGroupComponent.placeholder.imo,IMO,IMO,"En mi opinión (IMO en inglés significa ""In My Opinion"")"
Caption.updated,Updated at,Atualizado em,Actualizado a
ToastsManager.header.success,Success!,Sucesso!,¡Éxito!
VesselFormGroupComponent.label.yearOfBuild,Year of Build,Ano de Construção,Año de construcción
VesselFormGroupComponent.label.callSign,Call Sign,Call Sign,Indicativo de llamada
VesselFormGroupComponent.placeholder.callSign,Call Sign,Call Sign,Indicativo de llamada
PaypalCallbackComponent.button.goToApp,Go to dashboard,Ir ao dashboard,Ir al panel de control
SummaryStepComponent.button.goToDashboard,Go to dashboard,Ir ao dashboard,Ir al panel de control
Caption.dtAta,ATA,ATA,"ATA no necesita traducción ya que es una sigla en inglés que se utiliza en español de la misma manera. Se refiere a ""Actual Time of Arrival"" que significa ""Hora de llegada actual"""
AgentCompanyFormComponent.label.vlBalance,Balance,Saldo,Equilibrio
BasicCompanyFormComponent.label.country,Country,País,País
BasicCompanyFormComponent.label.code,Code,Código,Código
BasicCompanyFormComponent.label.Customer,Customer,Cliente,Cliente
BasicCompanyFormComponent.label.Agent,Agent,Agente,Agente
BasicCompanyFormComponent.label.Networking,Networking,Networking,Redes de comunicación
NavRoute.title.addCompany,Add Company,Adicionar Empresa,Añadir Compañía
BasicCompanyFormComponent.label.Carrier,Carrier,Armador,Transportista
AgentCompanyFormComponent.label.flProject,Project,Projeto,Proyecto
BasicCompanyFormComponent.label.SubAgent,Sub Agent,Representante,Subagente
AgentCompanyFormComponent.placeholder.flProject,Yes,Sim,Sí
BasicCompanyFormComponent.label.dsObservation,Note,Observação,Nota
AgentCompanyFormComponent.placeholder.vlBalance,Balance,Saldo,Equilibrio
AgentCompanyFormComponent.placeholder.cdCurrency,Select curency,Selecione a moeda,Seleccionar moneda
CustomerCompanyFormComponent.label.idVertical,Vertical,Vertical,Vertical (en español: Vertical)
BasicCompanyFormComponent.label.Airline,Airline,Companhia Aérea,Aerolínea
BasicCompanyFormComponent.label.Supplier,Supplier,Fornecedor,Proveedor
AgentCompanyFormComponent.label.tpModality,Modality,Modalidade,Modalidad
BasicCompanyFormComponent.placeholder.country,Select country,Selecione o país,Seleccionar país
Caption.obOrigin,Origin,Origem,Origen
AddCompanyComponent.button.offices,Offices,Escritórios,Oficinas
CustomerCompanyFormComponent.label.stCustomer,Status,Status,Estado
AddCompanyComponent.button.occurrences,Occurrences,Ocorrências,Ocurrencias
Breadcrumb.vessels,Vessels,Navios,Barcos
Caption.dtEta,ETA,ETA,"Traducción:
ETA"
AddCompanyComponent.button.networking,Networking,Networking,Redes de comunicación
OccurrencesListComponent.header.dsTitle,Title,Título,Título
AddOccurrenceFormComponent.label.dsTitle,Title,Título,Título
CustomerCompanyFormComponent.label.Inactive,Inactive,Inativo,Inactivo
AddCompanyComponent.button.attachments,Attachments,Anexos,Adjuntos
AddOccurrenceFormComponent.label.idUser,User,Usuário,Usuario
Breadcrumb.plans,Plans,Planos,Planes
OccurrencesListComponent.header.dtOccurrence,Date,Data,Fecha
AddOccurrenceFormComponent.label.dtOccurrence,Date,Data,Fecha
Breadcrumb.billingHistory,Billing History,Histórico de Pagamento,Historial de facturación
Breadcrumb.edit,Edit,Editar,Editar
CarrierCompanyFormComponent.label.nbFreeTime,Free Time,Free Time,Tiempo libre
Breadcrumb.add,Add,Adicionar,Agregar
Caption.nbCustomerFreeTime,Customer FT,FT Cliente,Cliente FT
AddOccurrenceFormComponent.label.flProtected,Protected,Protegido,Protegido
Breadcrumb.dashboard,Dashboard,Dashboard,Panel de control
AddOccurrenceFormComponent.label.dsContent,Content,Conteúdo,Contenido
Caption.nbCarrierDays,Carrier Days,Dias do Armador,Días del transportista
EditVesselComponent.iboxHeader.vesselInfo,Vessel info,Informações do navio,Información del buque
AddVesselComponent.iboxHeader.vesselInfo,Vessel info,Informações do navio,Información del buque
CustomerCompanyFormComponent.label.nbPtax,Exchange,Ptax,Intercambio
CustomerCompanyFormComponent.placeholder.nbPtax,Exchange,Ptax,Intercambio
CountriesComponent.header.countries,Countries,Países,Países
NavRoute.title.countries,Countries,Países,Países
LoginFormComponent.placeholder.email,Email,E-mail,Correo electrónico
Caption.value,Value,Valor,Valor
Caption.name,Name,Nome,Nombre
Caption.code,Code,Código,Código
PasswordRecoveryFormCmp.placeholder.registeredEmail,Email,E-mail,Correo electrónico
SideMenuComponent.label.countries,Countries,Países,Países
OccurrenceManagerComponent.button.occurrences,Occurrences,Ocorrências,Ocurrencias
ErrorComponent.button.back,Back,Voltar,Espalda
SideMenuComponent.label.companies,Companies,Empresas,Empresas
CompaniesComponent.header.companies,Companies,Empresas,Empresas
CompaniesComponent.paginator.companies,Companies,Empresas,Empresas
NavRoute.title.companies,Companies,Empresas,Empresas
AddCompanyComponent.header.addOccurrence,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
OccurrenceManagerComponent.button.addOccurrence,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
OccurrenceManagerComponent.header.addOccurrence,Add Occurrence,Adicionar Ocorrência,Agregar Ocurrencia
CountriesComponent.caption.flag,Flag,Bandeira,Bandera
LoginFormComponent.placeholder.password,Password,Senha,Contraseña
LoginFormComponent.button.login,Login,Entrar,Iniciar sesión
Caption.actions,Actions,Ações,Acciones
CountriesComponent.headerLabel.countriesLabel,Countries List,Lista de Países,Lista de países
Capition.nbCustomerDemurrage,Customer Days,Dias do Cliente,Días del cliente
Caption.nbCustomerDemurrage,Customer Days,Dias do Cliente,Días del cliente
ErrorComponent.button.home,Home,Home,Casa
ToastsManager.success.AddOccurrence,Occurrence successfully added,Ocorrência adicionada com sucesso,Ocurrencia añadida exitosamente
Caption.nbCarrierDemurrage,Carrier Days,Dias do Armador,Días del transportista
LoginFormComponent.label.questionForgotPassword,Forgot password?,Esqueceu a senha?,¿Olvidaste tu contraseña?
notification.ArriveNotify.Title,Arrive Notify,Notificação de Chegada,Llegada Notificar
CountriesComponent.caption.countryName,Country Name,País,Nombre del país
SignupFormComponent.option.select,Select,Selecione,Seleccionar
SignupFormComponent.button.back,Back,Voltar,Espalda
ResetPasswordCmp.button.back,Back,Voltar,Espalda
CompaniesComponent.button.addCompany,Add Company,Adicionar Empresa,Añadir Compañía
DemurrageControl.header.DemurrageCollection,Demurrage Collection,Cobrança de Demurrage,Recolección de demora
NavRoute.title.tracking.send,Tracking Tool,Envio de Tracking,Herramienta de seguimiento
SideMenuComponent.label.trackingSend,Tracking Tool,Envio de Tracking,Herramienta de seguimiento
Placeholder.trackingSend,Tracking Tool,Envio de Tracking,Herramienta de seguimiento
ResetPasswordCmp.label.password,Password,Senha,Contraseña
FirstRegisterForm.placeholder.orgName,Organization Name,Nome da Organização,Nombre de la organización
SignupFormComponent.button.signUp,Sign up,Cadastrar,Registrarse
FirstRegisterForm.label.country,Country,País,País
VesselFormGroupComponent.paginator.vessels,Vessels,Navios,Barcos
AddressFormGroupComponent.zipQueryCancel,Cancel,Cancelar,Cancelar
VesselFormGroupComponent.button.close,Close,Fechar,Cerrar
Breadcrumb.house,House,House,Casa
Context.button.confirm,Confirm,Confirmar,Confirmar
VesselFormGroupComponent.caption.actions,Import,Importar,Importar
AddVesselComponent.button.addVessel,Add Vessel,Adicionar Navio,Agregar Buque
AddressFormGroupComponent.zipQuerySearch,Search,Pesquisar,Buscar
Caption.imo,IMO,IMO,IMO (En mi opinión)
AddressFormGroupComponent.tooltip1.zipCodeEgL1,To,Para,A: A
FirstRegisterForm.label.orgName,Organization Name,Nome da Organização,Nombre de la organización
AddressFormGroupComponent.toastrSuccess,Success!,Sucesso!,¡Éxito!
NavUser.label.profile,Profile,Perfil,Perfil
CompanyOffices.header.offices,Offices,Escritórios,Oficinas
CustomerCompanyFormComponent.label.Customer,Customer,Cliente,Cliente
OfficeList.paginator.offices,Offices,Escritórios,Oficinas
DemurrageRangeManager.header.demurrages,Demurrages,Demurrages,Demurrages (this term is already the same in Spanish) - refers to the charges or fees that are incurred when a cargo or shipment is delayed beyond the agreed-upon time for loading or unloading at a port or terminal
OceanQuotationsComponent.button.addOceanQuotation,Add Quotation,Adicionar Cotação,Agregar cita
Caption.dsTitle,Title,Título,Título
Caption.vessel,Vessel,Navio,Barco
Breadcrumb.oceanQuotations,Ocean Quotations,Cotações Marítimas,Citas sobre el océano
SideMenuComponent.label.oceanQuotations,Ocean Quotations,Cotações Marítimas,Citas sobre el océano
Caption.dtOccurrence,Date,Data,Fecha
Caption.nbFreeTimeDemurrage,Customer FT,FT Cliente,Cliente FT
DemurrageRangeManager.button.addDemurrage,Add Demurrage,Adicionar Demurrage,Agregar Demora
DemurrageRangeManager.header.addDemurrage,Add Demurrage,Adicionar Demurrage,Agregar Demora
NavRoute.title.addOceanQuotations,Add Ocean Quotation,Adicionar Cotação Marítima,Agregar cotización de Ocean
Breadcrumb.addOceanQuotation,Add Ocean Quotation,Adicionar Cotação Marítima,Agregar cotización de Ocean
Caption.nbFreeTimeDemurrageCarrier,Carrier FT,FT Armador,Transportista FT
DemurrageRange.header.addRanges,Add Ranges,Adicionar Faixas,Agregar rangos
AirlineForm.label.cdAirline,Iata code,Código IATA,Código IATA
Caption.dsVolume,Volume,Volume,Volumen
DemurrageForm.label.idVolume,Volumes,Volumes,Volúmenes
DemurrageForm.label.volumes,Volumes,Volumes,Volúmenes
ProfitShareForm.type.tpOperation,Operations,Operações,Operaciones
DemurrageList.paginator.demurrages,Demurrages,Demurrages,Demurrages (this term is already the same in Spanish) - refers to the charges or fees that are incurred when a cargo or shipment is delayed beyond the agreed-upon time for loading or unloading at a port or terminal
DemurrageForm.label.vlDemurrageBuy,Value,Valor,Valor
DemurrageForm.label.vlDemurrageSell,Value,Valor,Valor
ProfitShareForm.type.tpModality,Modalities,Modalidades,Modalidades
DemurrageForm.header.sell,Sell,Venda,Vender
Caption.sell,Sell,Venda,Vender
DemurrageForm.header.buy,Buy,Compra,Comprar
Caption.buy,Buy,Compra,Comprar
Caption.nmOffice,Office name,Nome do escritório,Nombre de la oficina
Button.shippingInstructions,Shipping Instructions,Instruções de Embarque,Instrucciones de envío
DemurrageForm.label.nbDaysTo,To,Para,A: A
EditProcessAir.header.editProcessAir,Process Editing,Edição de Processo,Edición de procesos
DemurrageForm.placeholder.cdCurrencyBuy,Select the currency,Selecione a moeda,Selecciona la moneda
DemurrageForm.placeholder.cdCurrencySell,Select the currency,Selecione a moeda,Selecciona la moneda
